,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
17024,Mercedes Benz,2014,Hà Nội,Cũ,89000.0,Lắp ráp trong nước,SUV,Số tự động,Đồng,Kem,5,5,AWD,Xăng,2.0,668.0
9611,Kia,2008,Hải Dương,Cũ,140000.0,Nhập khẩu,Hatchback,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.0,142.0
5458,Hyundai,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,548.0
8853,Kia,2016,Hà Nội,Cũ,83000.0,Nhập khẩu,Van/Minivan,Số tự động,Ghi,Ghi,2,5,FWD,Xăng,1.0,226.0
24797,Toyota,2021,Khánh Hòa,Cũ,28300.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,RFD,Dầu,2.4,975.0
5021,Honda,2022,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,535.0
17131,MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,510.0
10139,Kia,2022,TP HCM,Cũ,23000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Đỏ,7,5,FWD,Dầu,2.2,1325.0
16441,Mercedes Benz,2022,TP HCM,Cũ,9500.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,7,5,AWD,Xăng,3.0,4639.0
21654,Toyota,2007,TP HCM,Cũ,125000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.4,309.0
8038,Hyundai,2022,TP HCM,Cũ,6500000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nhiều màu,5,4,FWD,Xăng,1.4,459.0
24374,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,3.4,5199.0
6322,Hyundai,2021,Hà Nội,Cũ,39000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7,5,AWD,Dầu,2.2,968.0
13599,Mazda,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,5,5,FWD,Xăng,2.0,869.0
5528,Hyundai,2019,Hà Nội,Cũ,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5,4,FWD,Xăng,1.4,415.0
9549,Kia,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Xanh,Đồng,5,5,AWD,Xăng,1.6,1014.0
3245,Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Xám,Đen,5,4,4WD,Dầu,2.0,910.0
6117,Hyundai,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,637.0
6842,Hyundai,2015,Hà Nội,Cũ,120000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Nhiều màu,5,5,FWD,Xăng,1.0,279.0
4674,Honda,2019,Hà Nội,Cũ,45000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,830.0
20214,Toyota,2016,Hà Nội,Cũ,63000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,415.0
930,Chevrolet,2018,Bắc Ninh,Cũ,80000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đen,Xám,5,4,RFD,Dầu,2.5,389.0
2651,Ford,2022,Hà Nội,Cũ,10000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,1135.0
24545,Toyota,2020,Quảng Ninh,Cũ,8800.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Nhiều màu,7,5,RFD,Dầu,2.4,1090.0
23992,Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,7,5,AWD,Xăng,3.4,4286.0
22781,Toyota,2016,Hà Nội,Cũ,97000.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.5,1799.0
7901,Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,729.0
20270,Toyota,2016,Hà Nội,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Kem,5,4,FWD,Xăng,1.8,475.0
15437,Mercedes Benz,2017,Hà Nội,Cũ,40000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,AWD,Xăng,3.0,3689.0
2203,Ford,2021,Quảng Ninh,Cũ,40000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,4WD,Dầu,2.0,999.0
23669,Toyota,2019,Hà Nội,Cũ,40000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Ghi,5,5,FWD,Xăng,1.2,310.0
11748,Lexus,2014,TP HCM,Cũ,33000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5,5,AWD,Xăng,3.5,1650.0
18075,Mitsubishi,2013,Hà Nội,Cũ,119000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Bạc,Đen,5,4,4WD,Dầu,2.5,358.0
3449,Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Xanh,5,5,FWD,Xăng,1.5,785.0
21641,Toyota,2013,Phú Thọ,Cũ,86000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.8,395.0
248,Audi,2019,Hà Nội,Cũ,25000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,1750.0
1573,Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.0,605.0
2205,Ford,2021,Hà Nội,Cũ,40000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,4WD,Dầu,2.0,1020.0
26364,Volvo,2023,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Ghi,Nâu,5,4,AWD,Xăng,2.0,2890.0
24616,Toyota,2014,TP HCM,Cũ,110000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Bạc,8,5,RFD,Xăng,2.0,360.0
25789,VinFast,2022,TP HCM,Cũ,33000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5,4,RFD,Xăng,2.0,618.0
15274,Mercedes Benz,2018,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,829.0
17199,MG,2023,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,538.0
8541,Kia,2022,TP HCM,Cũ,12000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.6,496.0
21300,Toyota,2022,Hà Nội,Cũ,60000.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,1.8,765.0
21537,Toyota,2023,TP HCM,Cũ,23000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Hybrid,1.8,869.0
797,BMW,2021,TP HCM,Cũ,24000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,1899.0
4912,Honda,2024,Hải Phòng,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,539.0
7292,Hyundai,2017,Vĩnh Phúc,Cũ,53000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Nhiều màu,5,5,FWD,Xăng,1.25,318.0
15576,Mercedes Benz,2019,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,1.5,918.0
7875,Hyundai,2020,Hà Nội,Cũ,42000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.4,443.0
11440,Lexus,2022,Hà Nội,Cũ,30000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.5,2480.0
6557,Hyundai,2021,Bình Dương,Cũ,9000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,568.0
4712,Honda,2021,TP HCM,Cũ,20000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.5,696.0
2103,Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tay,Trắng,Ghi,16,4,RFD,Dầu,2.2,759.0
8991,Kia,2020,Hà Nội,Cũ,27000.0,Lắp ráp trong nước,Hatchback,Số tự động,Vàng,Kem,5,5,FWD,Xăng,1.25,299.0
22852,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nhiều màu,8,5,FWD,Xăng,2.0,810.0
8077,Hyundai,2019,TP HCM,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Cát,Cát,5,4,FWD,Xăng,1.4,389.0
17718,Mitsubishi,2018,TP HCM,Cũ,54000.0,Nhập khẩu,Hatchback,Số tự động,Bạc,Nhiều màu,5,5,FWD,Xăng,1.2,285.0
21998,Toyota,2021,Hà Nội,Cũ,15000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.8,695.0
21831,Toyota,2019,Phú Thọ,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Đen,5,4,FWD,Xăng,1.5,380.0
4601,Honda,2015,Hà Nội,Cũ,110000.0,Lắp ráp trong nước,SUV,Số tự động,Nâu,Kem,5,5,FWD,Xăng,2.0,570.0
19253,Peugeot,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Xám,Đen,5,5,FWD,Xăng,1.6,1019.0
13346,Mazda,2022,Hà Nội,Cũ,8000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.0,835.0
23481,Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.4,4297.0
24143,Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Bạc,Đỏ,5,5,FWD,Xăng,1.8,810.0
21291,Toyota,2022,Hà Nội,Cũ,22000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.5,1240.0
6944,Hyundai,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,2.5,1135.0
21270,Toyota,2011,TP HCM,Cũ,140000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Cát,7,5,4WD,Xăng,2.7,380.0
1500,Ford,2023,Hà Nội,Cũ,8000.0,Nhập khẩu,SUV,Số tự động,Nâu,Đen,7,5,RFD,Dầu,2.0,1285.0
24032,Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,FWD,Hybrid,1.5,745.0
18156,Mitsubishi,2023,Lâm Đồng,Mới,0.0,Lắp ráp trong nước,SUV,Số tay,Đen,Đen,7,5,FWD,Xăng,1.5,560.0
13383,Mazda,2022,Hà Nội,Cũ,15000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,830.0
15159,Mercedes Benz,2014,Hà Nội,Cũ,114000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,650.0
16484,Mercedes Benz,2022,Đà Nẵng,Cũ,26000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,RFD,Xăng,2.0,1590.0
22167,Toyota,2016,Hà Nội,Cũ,64000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,RFD,Xăng,2.7,574.0
14526,Mercedes Benz,2018,Hà Nội,Cũ,42000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,898.0
2477,Ford,2022,TP HCM,Cũ,19000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,RFD,Dầu,2.0,1045.0
14172,Mercedes Benz,2019,Hà Nội,Cũ,56000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,RFD,Xăng,2.0,1029.0
21790,Toyota,2022,Hà Nội,Cũ,15000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,1115.0
20285,Toyota,2007,TP HCM,Cũ,78000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,3.5,439.0
4983,Honda,2015,Thanh Hóa,Cũ,85000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Kem,5,5,FWD,Xăng,2.0,530.0
1891,Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,4WD,Dầu,2.0,1189.0
16077,Mercedes Benz,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,3.0,4899.0
14984,Mercedes Benz,2021,Hà Nội,Cũ,20000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Kem,5,4,RFD,Xăng,3.0,4650.0
18784,Mitsubishi,2022,Hà Nội,Cũ,18000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,626.0
9979,Kia,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,549.0
8797,Kia,2020,Hà Nội,Cũ,67000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,520.0
22654,Toyota,2021,Hà Nội,Cũ,43000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,4WD,Xăng,2.7,2350.0
9969,Kia,2019,TP HCM,Cũ,51000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Kem,7,5,FWD,Dầu,2.2,815.0
18097,Mitsubishi,2021,Hải Dương,Cũ,60000.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,7,5,FWD,Xăng,1.5,575.0
12034,Lexus,2009,Thanh Hóa,Cũ,108000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,3.5,730.0
10261,Kia,2022,Hà Nội,Cũ,15000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.6,565.0
11935,Lexus,2015,TP HCM,Cũ,104000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.5,1250.0
22698,Toyota,2014,TP HCM,Cũ,88000.0,Nhập khẩu,SUV,Số tự động,Vàng,Đen,7,5,4WD,Xăng,2.7,1150.0
18797,Nissan,2019,Hà Nội,Cũ,40000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,4WD,Xăng,2.5,725.0
13142,Mazda,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,789.0
13199,Mazda,2024,Hải Phòng,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Vàng,Nâu,7,5,AWD,Xăng,2.5,1109.0
12041,Lexus,2015,Hà Nội,Cũ,75000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,5.7,4550.0
3743,Ford,2022,TP HCM,Cũ,27000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,4WD,Dầu,2.0,760.0
18838,Nissan,2021,TP HCM,Cũ,70000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,4WD,Dầu,2.5,690.0
15717,Mercedes Benz,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,1.5,1914.0
25007,Toyota,2012,Ninh Bình,Cũ,160000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.0,430.0
22630,Toyota,2011,Hà Nội,Cũ,132152.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Ghi,5,4,FWD,Xăng,2.4,382.0
19145,Peugeot,2022,Hà Nội,Cũ,39000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Kem,5,5,FWD,Xăng,1.6,945.0
20279,Toyota,2019,TP HCM,Cũ,62000.0,Lắp ráp trong nước,Crossover,Số tự động,Đồng,Nâu,8,5,RFD,Xăng,2.0,635.0
12386,Mazda,2020,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.5,765.0
22486,Toyota,2019,TP HCM,Cũ,44700.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.5,905.0
19923,Suzuki,2021,Hà Nội,Cũ,38000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,505.0
13504,Mazda,2016,Vĩnh Phúc,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,445.0
24123,Toyota,2020,Hà Nội,Cũ,70000.0,Nhập khẩu,SUV,Số tự động,Nâu,Đen,5,5,FWD,Xăng,1.8,690.0
14376,Mercedes Benz,2023,Hà Nội,Cũ,8000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,2770.0
15860,Mercedes Benz,2019,TP HCM,Cũ,43000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,1550.0
352,BMW,2021,Hà Nội,Cũ,13000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Xanh,Đen,2,2,RFD,Xăng,2.0,2299.0
24355,Toyota,2022,Hà Nội,Cũ,23000.0,Nhập khẩu,SUV,Số tự động,Bạc,Ghi,7,5,FWD,Xăng,1.5,595.0
3156,Ford,2022,TP HCM,Cũ,59000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,4WD,Dầu,2.0,739.0
16848,Mercedes Benz,2021,Hà Nội,Cũ,48000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,1598.0
20139,Suzuki,2023,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Xanh,Kem,7,5,FWD,Xăng,1.5,569.0
5519,Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,625.0
8694,Kia,2013,Hải Phòng,Cũ,150000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.6,298.0
21242,Toyota,2015,TP HCM,Cũ,115000.0,Nhập khẩu,SUV,Số tự động,Ghi,Ghi,8,5,AWD,Xăng,4.6,2030.0
8025,Hyundai,2019,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Ghi,5,5,FWD,Xăng,2.0,670.0
1870,Ford,2024,Bà Rịa Vũng Tàu,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xanh,Đen,5,4,4WD,Dầu,2.0,1299.0
22595,Toyota,2011,Đà Nẵng,Cũ,87555.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Kem,8,5,RFD,Xăng,2.0,275.0
14199,Mercedes Benz,2021,Hà Nội,Cũ,30000.0,Nhập khẩu,Sedan,Số tự động,Nâu,Kem,5,4,RFD,Xăng,3.0,4500.0
24500,Toyota,2013,Hà Nội,Cũ,70000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Kem,7,5,RFD,Xăng,2.7,439.0
24380,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Vàng,Nâu,7,5,FWD,Hybrid,2.0,990.0
8544,Kia,2018,Bình Dương,Cũ,52000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,7,5,FWD,Dầu,2.2,660.0
25391,VinFast,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,5,5,AWD,Điện,0.2,1346.0
3326,Ford,2020,TP HCM,Cũ,40000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,RFD,Dầu,2.0,930.0
17677,Mitsubishi,2024,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đen,Đen,5,4,RFD,Dầu,2.4,599.0
19916,Suzuki,2021,Hải Phòng,Cũ,50000.0,Nhập khẩu,SUV,Số tự động,Tím,Đen,7,5,FWD,Xăng,1.5,495.0
3467,Ford,2019,TP HCM,Cũ,80000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.2,545.0
9130,Kia,2022,Hà Nội,Cũ,7800.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nhiều màu,5,4,FWD,Xăng,2.0,629.0
12685,Mazda,2022,Hà Nội,Cũ,30000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,599.0
3912,Ford,2012,TP HCM,Cũ,76000.0,Nhập khẩu,SUV,Số tự động,Đen,Cát,7,5,AWD,Xăng,3.5,579.0
10295,Kia,2015,Quảng Nam,Cũ,740000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Ghi,5,4,FWD,Xăng,1.6,355.0
1178,Chevrolet,2017,TP HCM,Cũ,120000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.6,260.0
14010,Mercedes Benz,2015,Hà Nội,Cũ,110000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,3.0,1280.0
23552,Toyota,2019,Hà Nội,Cũ,60000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,RFD,Xăng,1.5,495.0
498,BMW,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Nâu,7,5,AWD,Xăng,3.0,3369.0
9995,Kia,2007,Hà Nội,Cũ,140000.0,Nhập khẩu,Hatchback,Số tự động,Bạc,Nâu,5,5,FWD,Xăng,1.0,110.0
12316,Mazda,2019,Hải Dương,Cũ,70000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,720.0
4673,Honda,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.5,542.0
15531,Mercedes Benz,2022,Nghệ An,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,2888.0
21851,Toyota,2022,Hà Nội,Cũ,16000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.8,820.0
17277,MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,410.0
21539,Toyota,2019,Hà Nội,Cũ,52108.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.0,720.0
20824,Toyota,2017,Hải Phòng,Cũ,78000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.5,379.0
8618,Kia,2020,Hà Nội,Cũ,22512.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Ghi,5,4,FWD,Xăng,1.4,365.0
21297,Toyota,2015,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,RFD,Xăng,2.7,510.0
25780,VinFast,2020,Hà Nội,Cũ,72500.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.4,323.0
20662,Toyota,2016,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Nâu,7,5,RFD,Xăng,2.7,535.0
7654,Hyundai,2009,Hà Giang,Cũ,50000.0,Nhập khẩu,Hatchback,Số tay,Xanh,Xanh,5,5,FWD,Xăng,1.1,110.0
12474,Mazda,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,639.0
752,BMW,2022,TP HCM,Mới,0.0,Nhập khẩu,Coupe,Số tự động,Xanh,Đen,4,5,RFD,Xăng,2.0,2629.0
8605,Kia,2021,Đà Nẵng,Cũ,58000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Nhiều màu,5,4,FWD,Xăng,1.4,325.0
4609,Honda,2018,Hà Nội,Cũ,60000.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,7,5,FWD,Xăng,1.5,735.0
15062,Mercedes Benz,2020,TP HCM,Cũ,19000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,1220.0
24895,Toyota,2016,Hà Nội,Cũ,71000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,8,5,AWD,Xăng,5.7,4380.0
14642,Mercedes Benz,2022,Hà Nội,Cũ,28000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,1.5,1699.0
23492,Toyota,2021,Hà Nội,Cũ,36000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,2.5,1045.0
7246,Hyundai,2022,Thanh Hóa,Cũ,14000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.6,565.0
10341,Kia,2007,Hà Nội,Cũ,180000.0,Nhập khẩu,Hatchback,Số tự động,Bạc,Nhiều màu,5,5,FWD,Xăng,1.0,130.0
25992,Volkswagen,2024,TP HCM,Cũ,2000.0,Nhập khẩu,Van/Minivan,Số tự động,Nâu,Kem,7,5,FWD,Xăng,2.0,2180.0
20281,Toyota,2022,Hà Nội,Cũ,18000.0,Nhập khẩu,SUV,Số tự động,Ghi,Đen,5,5,FWD,Xăng,1.8,795.0
21116,Toyota,2010,Hà Nội,Cũ,98000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,2.5,465.0
7871,Hyundai,2009,Hà Nội,Cũ,150000.0,Nhập khẩu,Hatchback,Số tay,Tím,Tím,5,5,FWD,Xăng,1.1,135.0
9824,Kia,2018,Hà Nội,Cũ,69000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Ghi,7,5,FWD,Dầu,2.2,830.0
22378,Toyota,2018,Hà Nội,Cũ,66000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,RFD,Xăng,2.7,768.0
26026,Volkswagen,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nhiều màu,5,5,AWD,Xăng,2.0,2168.0
12702,Mazda,2023,Hà Nội,Cũ,7000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,2.0,925.0
