,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
17838,Mitsubishi,2023,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.4,606.0
19366,Porsche,2019,Hà Nội,Cũ,40000.0,Nhập khẩu,SUV,Số tự động,Nâu,Kem,5,5,AWD,Xăng,2.0,2500.0
20853,Toyota,2013,Hà Nội,Cũ,120000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,8,5,AWD,Xăng,4.6,1880.0
14597,Mercedes Benz,2008,Hà Nội,Cũ,129000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,1.8,246.0
19204,Peugeot,2021,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Crossover,Số tự động,Cam,Đen,5,5,FWD,Xăng,1.2,663.0
3556,Ford,2019,Hà Nội,Cũ,60000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đỏ,Đen,5,4,RFD,Dầu,2.2,535.0
436,BMW,2013,Hà Nội,Cũ,80000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,399.0
12321,Mazda,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,2.5,870.0
15237,Mercedes Benz,2021,Hà Nội,Cũ,46000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,1199.0
12725,Mazda,2018,Hải Phòng,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.5,655.0
4158,Honda,2020,Bình Dương,Cũ,59000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Đen,5,4,FWD,Xăng,1.5,650.0
16119,Mercedes Benz,2017,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Nâu,5,4,RFD,Xăng,3.0,1650.0
23425,Toyota,2021,TP HCM,Cũ,86.0,Lắp ráp trong nước,Sedan,Số tay,Vàng,Đen,5,4,FWD,Xăng,1.5,385.0
