Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Mazda,2023,Hải Phòng,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.5,899.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,AWD,Xăng,2.3,1929.0
Kia,2020,Hà Nội,Cũ,31000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,1.4,365.0
VinFast,2023,TP HCM,Cũ,10000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Xanh,6,5,AWD,Điện,0.2,1075.0
Volvo,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Vàng,Nâu,5,5,AWD,Hybrid,2.0,2890.0
Volkswagen,2024,Nghệ An,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Đỏ,Kem,7,5,FWD,Xăng,2.0,2188.0
VinFast,2022,Phú Thọ,Cũ,20000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.4,352.0
VinFast,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Nâu,5,4,RFD,Xăng,2.0,630.0
BMW,2016,TP HCM,Cũ,30000.0,Nhập khẩu,Convertible/Cabriolet,Số tự động,Trắng,Đen,4,2,RFD,Xăng,2.0,1339.0
Toyota,2017,Hải Phòng,Cũ,75000.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.5,420.0
Toyota,2024,Cần Thơ,Mới,0.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.2,405.0
Nissan,2007,Hà Nội,Cũ,13000.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,5,5,AWD,Xăng,2.0,269.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.0,667.0
Mitsubishi,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,599.0
Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.8,745.0
Hyundai,2022,Hà Nội,Cũ,20000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.5,1130.0
LandRover,2021,Hà Nội,Cũ,41000.0,Nhập khẩu,SUV,Số tự động,Xanh,Đen,7,5,AWD,Xăng,2.0,1790.0
Kia,2022,TP HCM,Cũ,42000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Nhiều màu,5,4,FWD,Xăng,1.4,325.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Đỏ,Đen,5,4,4WD,Dầu,2.0,895.0
BMW,2014,TP HCM,Cũ,92000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,485.0
Toyota,2021,Hải Dương,Cũ,20000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nâu,5,5,FWD,Hybrid,1.8,820.0
Mitsubishi,2021,Đăk Lăk,Cũ,27000.0,Nhập khẩu,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.2,310.0
Mercedes Benz,2014,Hà Nội,Cũ,96000.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Đen,5,4,RFD,Xăng,3.0,1280.0
Toyota,2022,TP HCM,Cũ,7000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.8,720.0
Kia,2022,Hà Nội,Cũ,31000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nâu,7,5,FWD,Dầu,2.2,1380.0
Lexus,2023,Hà Nội,Cũ,11000.0,Nhập khẩu,SUV,Số tự động,Xanh,Nâu,5,5,AWD,Xăng,2.4,3539.0
Mazda,2019,Hà Nội,Cũ,65000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.5,699.0
Toyota,2017,Đồng Nai,Cũ,120000.0,Lắp ráp trong nước,Sedan,Số tay,Vàng,Kem,5,4,FWD,Xăng,1.5,295.0
Kia,2022,TP HCM,Cũ,18000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nâu,8,5,FWD,Dầu,2.2,1236.0
Honda,2017,Hà Nội,Cũ,75000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Kem,5,5,FWD,Xăng,2.0,620.0
Kia,2024,Bắc Ninh,Mới,0.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.25,371.0
Mazda,2023,Hải Phòng,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,599.0
Hyundai,2017,Hà Nội,Cũ,98000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,4WD,Dầu,2.2,735.0
Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.0,829.0
Toyota,2021,Hà Nội,Cũ,28000.0,Lắp ráp trong nước,SUV,Số tay,Trắng,Đen,7,5,RFD,Dầu,2.4,885.0
Toyota,2019,Hà Nội,Cũ,23000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,FWD,Xăng,1.5,445.0
Jeep,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Xám,Đen,5,5,4WD,Xăng,2.0,4088.0
Honda,2014,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,SUV,Số tự động,Nâu,Nâu,5,5,FWD,Xăng,2.4,480.0
Mercedes Benz,2023,Nghệ An,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,2299.0
Audi,2016,Hà Nội,Cũ,10000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,AWD,Xăng,2.0,1330.0
Lexus,2017,TP HCM,Cũ,2020.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nâu,5,5,AWD,Xăng,2.0,1989.0
Porsche,2021,Hà Nội,Cũ,20000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,3.0,5179.0
Mitsubishi,2012,TP HCM,Cũ,90000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,RFD,Xăng,3.0,390.0
Toyota,2022,Hà Nội,Cũ,29000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.0,515.0
Toyota,2003,Phú Thọ,Cũ,20000.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Nâu,5,4,FWD,Xăng,1.3,105.0
Mazda,2022,Hà Nội,Cũ,28000.0,Nhập khẩu,Crossover,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.0,699.0
Nissan,2017,Hà Nội,Cũ,60000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xanh,Kem,5,4,4WD,Dầu,2.5,485.0
Toyota,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,7,5,FWD,Xăng,1.5,625.0
Ford,2020,Hà Nội,Cũ,62000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.2,575.0
Mercedes Benz,2021,Hà Nội,Cũ,9999.0,Nhập khẩu,SUV,Số tự động,Đen,Đỏ,5,5,AWD,Xăng,4.0,9499.0
Lexus,2022,Hà Nội,Cũ,20000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Hybrid,2.5,2860.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,FWD,Xăng,1.5,739.0
Ford,2023,TP HCM,Cũ,12000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Đỏ,Đen,5,4,4WD,Dầu,2.0,899.0
Kia,2022,TP HCM,Cũ,17000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Nhiều màu,5,4,FWD,Xăng,1.6,595.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Xanh,5,5,FWD,Xăng,1.5,850.0
Ford,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Cam,Đen,5,4,RFD,Dầu,2.0,603.0
Lexus,2015,Lâm Đồng,Cũ,68000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Vàng,5,4,FWD,Xăng,2.5,1280.0
VinFast,2021,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.4,335.0
Kia,2021,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Vàng,5,5,FWD,Xăng,1.25,330.0
Ford,2017,Hà Nội,Cũ,96000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xanh,Nhiều màu,5,4,RFD,Dầu,2.2,481.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,Hatchback,Số tự động,Vàng,Đen,5,5,FWD,Xăng,1.2,388.0
Porsche,2013,TP HCM,Cũ,46000.0,Nhập khẩu,SUV,Số tự động,Nâu,Kem,5,5,AWD,Xăng,3.6,1688.0
Honda,2020,Hà Nội,Cũ,34000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,7,5,FWD,Xăng,1.5,799.0
Toyota,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,498.0
Honda,2018,Phú Thọ,Cũ,60000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,FWD,Xăng,1.5,758.0
Ford,2024,Tây Ninh,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nhiều màu,5,5,FWD,Xăng,1.5,884.0
Mitsubishi,2019,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Ghi,7,5,FWD,Xăng,2.0,638.0
Mazda,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.5,599.0
Lexus,2021,Hà Nội,Cũ,29000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,2980.0
Toyota,2011,TP HCM,Cũ,122000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Kem,7,5,4WD,Xăng,2.7,335.0
Toyota,2020,TP HCM,Cũ,60344.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Cam,8,5,RFD,Xăng,2.0,710.0
Toyota,2023,Hà Nội,Cũ,29000.0,Lắp ráp trong nước,Sedan,Số tự động,Ghi,Nâu,5,4,FWD,Xăng,1.5,535.0
BMW,2016,Hà Nội,Cũ,60000.0,Nhập khẩu,Sedan,Số tự động,Xanh,Kem,5,4,RFD,Xăng,2.0,650.0
Hyundai,2022,Hải Phòng,Cũ,56000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,Đen,5,4,FWD,Xăng,1.4,375.0
Mercedes Benz,2012,Hà Nội,Cũ,120000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,1.8,319.0
Ford,2023,TP HCM,Cũ,6000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Xám,5,4,4WD,Dầu,2.0,1210.0
Chevrolet,2010,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Xám,5,4,FWD,Xăng,1.6,185.0
Mercedes Benz,2016,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,868.0
Kia,2011,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,Hatchback,Số tự động,Kem,Vàng,5,5,FWD,Xăng,1.1,186.0
Toyota,2021,Hà Nội,Cũ,30000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,1.8,695.0
Kia,2012,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Xám,5,4,FWD,Xăng,1.6,295.0
Mercedes Benz,2020,TP HCM,Cũ,13500.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,RFD,Xăng,1.5,999.0
MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Sedan,Số tay,Trắng,Kem,5,4,FWD,Xăng,1.5,324.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Đen,Kem,7,5,FWD,Xăng,2.4,4370.0
Kia,2019,Kiên Giang,Cũ,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Ghi,5,4,FWD,Xăng,1.4,390.0
VinFast,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,FWD,Điện,0.6,789.0
Hyundai,2021,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Kem,5,5,FWD,Xăng,1.6,795.0
Lexus,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Đen,6,5,FWD,Hybrid,2.4,7290.0
Toyota,2022,TP HCM,Cũ,20000.0,Lắp ráp trong nước,Crossover,Số tay,Xám,Đen,8,5,RFD,Xăng,2.0,699.0
Kia,2020,Hà Nội,Cũ,54000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,2.0,529.0
Mercedes Benz,2024,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,AWD,Xăng,3.0,5039.0
Mercedes Benz,2012,Hà Nội,Cũ,9000000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,1.8,326.0
Kia,2010,Bắc Ninh,Cũ,200000.0,Lắp ráp trong nước,Crossover,Số tự động,Cát,Vàng,7,5,FWD,Xăng,2.0,225.0
VinFast,2023,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,6,5,AWD,Điện,0.2,1350.0
Kia,2005,Quảng Ninh,Cũ,150000.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Đen,5,4,FWD,Xăng,1.6,58.0
Toyota,2024,Khánh Hòa,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Màu khác,7,5,RFD,Xăng,1.5,568.0
Nissan,2017,TP HCM,Cũ,68000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,7,5,FWD,Xăng,2.0,539.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Trắng,Nhiều màu,7,5,FWD,Hybrid,2.0,990.0
Ford,2020,TP HCM,Cũ,30000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,890.0
Toyota,2023,TP HCM,Cũ,15000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.0,1079.0
Lexus,2015,Hà Nội,Cũ,50000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,4.6,2550.0
Hyundai,2020,Hà Nội,Cũ,57000.0,Lắp ráp trong nước,SUV,Số tự động,Vàng,Nâu,7,5,AWD,Xăng,2.4,830.0
Mercedes Benz,2020,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Kem,5,5,AWD,Xăng,2.0,1789.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đỏ,5,5,FWD,Xăng,1.8,820.0
Mitsubishi,2004,Quảng Bình,Cũ,260.0,Nhập khẩu,SUV,Số tay,Xanh,Kem,7,5,4WD,Xăng,3.5,170.0
Suzuki,2020,Đà Nẵng,Cũ,15000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.4,450.0
Hyundai,2016,Hà Nội,Cũ,120.0,Nhập khẩu,Hatchback,Số tay,Trắng,Kem,5,5,FWD,Xăng,1.0,185.0
Mercedes Benz,2017,Hà Nội,Cũ,82000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,RFD,Xăng,3.0,2050.0
Hyundai,2020,Hà Nội,Cũ,78000.0,Lắp ráp trong nước,Sedan,Số tay,Đỏ,Nhiều màu,5,4,FWD,Xăng,1.4,374.0
Mazda,2022,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,FWD,Xăng,1.5,615.0
Mitsubishi,2020,TP HCM,Cũ,39000.0,Nhập khẩu,SUV,Số tự động,Cam,Nhiều màu,7,5,FWD,Xăng,1.5,560.0
Mazda,2023,Hà Nội,Cũ,6000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,5,5,FWD,Xăng,2.0,910.0
Mazda,2015,Hà Nội,Cũ,98000.0,Lắp ráp trong nước,SUV,Số tự động,Vàng,Đen,5,5,FWD,Xăng,2.0,460.0
Suzuki,2020,Bình Dương,Cũ,38000.0,Nhập khẩu,SUV,Số tự động,Đồng,Nhiều màu,7,5,FWD,Xăng,1.5,450.0
Hyundai,2019,Hà Nội,Cũ,79000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,2.4,805.0
Mercedes Benz,2023,Nghệ An,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,2.0,2799.0
Kia,2020,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,1.6,496.0
Honda,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Đen,5,4,FWD,Xăng,1.5,609.0
Mercedes Benz,2021,TP HCM,Cũ,22000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,1600.0
Mitsubishi,2023,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tay,Bạc,Đen,7,5,FWD,Xăng,1.5,527.0
Mazda,2021,TP HCM,Cũ,30000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.0,778.0
Ford,2024,Nghệ An,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,7,5,4WD,Dầu,2.0,1468.0
Ford,2017,Đăk Lăk,Cũ,70000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cam,Nhiều màu,5,4,4WD,Dầu,3.2,610.0
Toyota,2021,Hà Nội,Cũ,29000.0,Nhập khẩu,SUV,Số tự động,Nâu,Đen,5,5,FWD,Xăng,1.8,749.0
Chevrolet,2011,Đà Nẵng,Cũ,2260.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Bạc,2,5,FWD,Xăng,0.8,75.0
Peugeot,2023,TP HCM,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Kem,5,5,FWD,Xăng,1.6,1099.0
Mercedes Benz,2022,Hà Nội,Cũ,30.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,RFD,Xăng,2.0,2150.0
BMW,2023,TP HCM,Mới,0.0,Nhập khẩu,Coupe,Số tự động,Đỏ,Màu khác,4,4,RFD,Xăng,2.0,3219.0
Kia,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nâu,8,5,FWD,Dầu,2.2,1189.0
Mercedes Benz,2021,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,1600.0
Mitsubishi,2003,Đà Nẵng,Cũ,448000.0,Nhập khẩu,SUV,Số tay,Vàng,Đen,5,5,4WD,Xăng,3.0,130.0
Porsche,2021,Hà Nội,Cũ,21000.0,Nhập khẩu,SUV,Số tự động,Nâu,Kem,5,5,AWD,Xăng,2.0,2989.0
Toyota,2017,Hà Nội,Cũ,90000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,8,5,AWD,Xăng,4.6,3465.0
Toyota,2020,Hà Nội,Cũ,65000.0,Nhập khẩu,SUV,Số tự động,Nâu,Nhiều màu,7,5,RFD,Xăng,1.5,530.0
Lexus,2022,Hà Nội,Cũ,12000.0,Nhập khẩu,SUV,Số tự động,Ghi,Nâu,5,5,AWD,Xăng,2.4,3460.0
Ford,2021,Bắc Giang,Cũ,77000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,940.0
Toyota,2021,Hà Nội,Cũ,30000.0,Nhập khẩu,SUV,Số tự động,Đen,Đỏ,5,5,FWD,Xăng,1.8,785.0
Kia,2020,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nhiều màu,5,4,FWD,Xăng,2.0,528.0
Hyundai,2018,Hà Nội,Cũ,76000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Kem,5,5,FWD,Xăng,1.6,665.0
Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Kem,5,4,FWD,Xăng,2.0,1220.0
Volkswagen,2024,Hà Nội,Mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Nhiều màu,7,5,FWD,Xăng,2.0,1989.0
Toyota,2019,Hà Nội,Cũ,41000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,7,5,RFD,Dầu,2.4,888.0
Ford,2016,Bắc Giang,Cũ,13000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cát,Nhiều màu,5,4,RFD,Dầu,2.2,455.0
Daewoo,2009,Đồng Nai,Cũ,79000.0,Nhập khẩu,Hatchback,Số tự động,Xanh,Nhiều màu,5,5,FWD,Xăng,1.0,168.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xanh,Đen,5,4,4WD,Dầu,2.0,1189.0
Hyundai,2021,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Nhiều màu,5,4,FWD,Xăng,1.4,399.0
Suzuki,2015,TP HCM,Cũ,62000.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Nhiều màu,5,5,FWD,Xăng,1.4,320.0
Ford,2022,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Ghi,Đen,5,4,RFD,Dầu,2.0,650.0
Hyundai,2018,Hà Nội,Cũ,800000.0,Lắp ráp trong nước,Sedan,Số tự động,Nâu,Nâu,5,4,FWD,Xăng,1.25,295.0
Mazda,2019,Hà Nội,Cũ,32000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.5,720.0
Honda,2024,Hà Nội,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.5,690.0
BMW,2023,TP HCM,Cũ,2222.0,Nhập khẩu,Coupe,Số tự động,Xanh,Nâu,4,4,RFD,Xăng,2.0,2499.0
Hyundai,2019,Hà Nội,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tay,Bạc,Kem,5,4,FWD,Xăng,1.4,335.0
Mercedes Benz,2012,Hà Nội,Cũ,98000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,3.0,420.0
Volvo,2022,Hà Nội,Cũ,10000.0,Nhập khẩu,SUV,Số tự động,Xanh,Nâu,7,5,AWD,Xăng,2.0,3550.0
Volkswagen,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,2.0,2138.0
Toyota,2018,Đăk Lăk,Cũ,86000.0,Lắp ráp trong nước,Crossover,Số tay,Xám,Nhiều màu,8,5,RFD,Xăng,2.0,470.0
Toyota,2023,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Hybrid,2.5,1495.0
Toyota,2022,Cần Thơ,Cũ,14000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Đen,7,5,FWD,Xăng,1.5,658.0
Mercedes Benz,2017,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,3.0,1699.0
Mercedes Benz,2019,TP HCM,Cũ,41000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,2.0,1219.0
Daewoo,2009,Phú Thọ,Cũ,140000.0,Lắp ráp trong nước,Sedan,Số tay,Bạc,Ghi,5,4,FWD,Xăng,1.6,95.0
Lexus,2022,Hà Nội,Cũ,30000.0,Nhập khẩu,Sedan,Số tự động,Đen,Nâu,5,4,FWD,Xăng,2.5,2480.0
VinFast,2021,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5,4,RFD,Xăng,2.0,590.0
Mazda,2022,Hà Nội,Cũ,11289.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,1.5,615.0
Mazda,2020,Bình Dương,Cũ,69000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7,5,FWD,Xăng,2.5,815.0
VinFast,2020,Vĩnh Phúc,Cũ,39000.0,Lắp ráp trong nước,Hatchback,Số tự động,Xám,Đen,5,5,FWD,Xăng,1.4,330.0
Ford,2015,Hà Nội,Cũ,85000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Trắng,Trắng,10,4,RFD,Dầu,2.4,555.0
Mercedes Benz,2021,Hà Nội,Cũ,43000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,AWD,Xăng,3.0,4400.0
Mercedes Benz,2014,Hà Nội,Cũ,110000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5,4,RFD,Xăng,2.0,580.0
Audi,2023,Hà Nội,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Xanh,Nâu,5,4,AWD,Xăng,3.0,4850.0
Kia,2021,Gia Lai,Cũ,3000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,1.6,580.0
Toyota,2021,Hà Nội,Cũ,47000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,FWD,Xăng,2.5,999.0
Mercedes Benz,2017,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,AWD,Xăng,2.0,999.0
Mercedes Benz,2021,Hà Nội,Cũ,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,RFD,Xăng,2.0,1096.0
Ford,2019,Hà Nội,Cũ,70000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7,5,4WD,Dầu,2.0,905.0
Toyota,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Màu khác,7,5,RFD,Xăng,1.5,598.0
Toyota,2018,TP HCM,Cũ,97000.0,Lắp ráp trong nước,Crossover,Số tay,Đồng,Nâu,8,5,RFD,Xăng,2.0,510.0
