Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Hyundai,2019,Hà Nội,Cũ,64000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Nâu,7,5,AWD,Dầu,2.2,925.0
Hyundai,2021,Hải Dương,Cũ,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Kem,5,4,FWD,Xăng,1.4,439.0
BMW,2015,Hà Nội,Cũ,70000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,3.0,1500.0
Mazda,2017,Hà Nội,Cũ,68000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,475.0
Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.2,392.0
Toyota,2024,Bà Rịa Vũng Tàu,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Đen,5,4,FWD,Xăng,1.5,488.0
Toyota,2015,TP HCM,Cũ,57904.0,Lắp ráp trong nước,Sedan,Số tay,Bạc,Kem,5,4,FWD,Xăng,1.8,430.0
Kia,2017,TP HCM,Cũ,100000.0,Lắp ráp trong nước,SUV,Số tay,Trắng,Kem,7,5,FWD,Xăng,2.0,335.0
LandRover,2020,Hà Nội,Cũ,39000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nâu,4,5,AWD,Xăng,3.0,7950.0
Hyundai,2023,Hà Nội,Cũ,10000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Dầu,2.2,1258.0
VinFast,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Ghi,Đen,5,5,FWD,Điện,0.3,959.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cam,Đen,5,4,4WD,Dầu,2.0,1249.0
Mercedes Benz,2020,Hà Nội,Cũ,37000.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7,5,AWD,Xăng,3.0,4080.0
Toyota,2007,TP HCM,Cũ,100000.0,Nhập khẩu,Sedan,Số tự động,Bạc,Kem,5,4,FWD,Xăng,2.4,395.0
