,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
7979,Mercedes,Benz Maybach S680 4Matic,2022.0,14679000000.0,Hà Nội,Xe đã dùng,5000.0,Nhập khẩu,Sedan,Số tự động,Đen,Kem,4.0,4.0,AWD - 4 bánh toàn thời gian,Xăng,6.0
1205,Ford,Ranger XLS 2.0L 4x2 AT,2024.0,605000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Xám,-,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.0
6189,VinFast,Lux SA 2.0 Premium 2.0 AT,2019.0,705000000.0,Hà Nội,Xe đã dùng,100000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
15017,Honda,HRV L,2022.0,735000000.0,Hà Nội,Xe đã dùng,20000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,-,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
7283,Mercedes,Benz Maybach S680 4Matic,2022.0,14699000000.0,Hà Nội,Xe đã dùng,5000.0,Nhập khẩu,Sedan,Số tự động,Nhiều màu,Kem,4.0,4.0,AWD - 4 bánh toàn thời gian,Xăng,6.0
13991,Honda,CRV L AWD,2024.0,1310000000.0,Vĩnh Phúc,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,1.5
12088,Hyundai,Accent 1.4 AT,2022.0,468000000.0,Đà Nẵng,Xe đã dùng,18000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Cát,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
20826,Toyota,Veloz Cross Top 1.5 CVT,2022.0,629000000.0,Hà Nội,Xe đã dùng,33000.0,Nhập khẩu,SUV,Số tự động,Bạc,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
23453,Mazda,CX5 Premium 2.0 AT,2021.0,785000000.0,Hà Nội,Xe đã dùng,35000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
26330,Lexus,RX 350 Premium,2024.0,3430000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.4
3755,Ford,Everest Wildtrak 2.0L 4x4 AT,2024.0,1429000000.0,Bắc Ninh,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,-,7.0,5.0,4WD - Dẫn động 4 bánh,Dầu,2.0
4577,Mitsubishi,Xpander Cross 1.5 AT,2021.0,589000000.0,Hà Nội,Xe đã dùng,47000.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
10242,BMW,7 Series 740Li,2019.0,2750000000.0,Hà Nội,Xe đã dùng,44800.0,Nhập khẩu,Sedan,Số tự động,Trắng,Kem,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,3.0
29672,Kia,Carens 2.0 MT,2008.0,178000000.0,Hà Nội,Xe đã dùng,2000000.0,Nhập khẩu,Crossover,Số tay,Bạc,Bạc,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
638,MG,ZS Luxury 1.5 AT 2WD,2024.0,500000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
