,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
6233,VinFast,Fadil 1.4 AT,2019.0,299000000.0,Hà Nội,Xe đã dùng,52000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
23890,Mazda,2 1.5 AT,2024.0,420000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
28964,Kia,Carens SXMT,2013.0,265000000.0,Khánh Hòa,Xe đã dùng,64379.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
17815,Toyota,Camry 2.4G,2003.0,220000000.0,Hà Nội,Xe đã dùng,130000.0,Nhập khẩu,Sedan,Số tay,Ghi,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.4
1182,Ford,Explorer Limited 2.3L EcoBoost,2021.0,1775000000.0,TP HCM,Xe đã dùng,41000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.3
7106,Mercedes,Benz GLC 200 4Matic,2021.0,1620000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
7816,Mercedes,Benz E class E200 Exclusive,2022.0,2540000000.0,Nghệ An,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
23801,Mazda,CX5 Luxury 2.0 AT,2024.0,789000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
29340,Kia,Sedona 3.3 GAT Premium,2021.0,895000000.0,Hà Nội,Xe đã dùng,34000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Nhiều màu,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,3.3
3559,Ford,Everest Titanium 2.0L 4x2 AT,2018.0,799000000.0,Hà Nội,Xe đã dùng,50000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
30061,Kia,Seltos 1.5 AT,2024.0,599000000.0,Hải Phòng,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Cam,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
11341,Hyundai,i10 1.2 AT,2022.0,395000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
14454,Honda,Civic RS 1.5 AT,2023.0,875000000.0,Thái Nguyên,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
13396,Hyundai,i10 Grand 1.2 MT,2019.0,280000000.0,Quảng Ninh,Xe đã dùng,150000.0,Lắp ráp trong nước,Sedan,Số tay,Trắng,-,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.25
2357,Ford,Ranger XLS 2.0L 4x2 AT,2022.0,650000000.0,Hà Nội,Xe đã dùng,30000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Ghi,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.0
18666,Toyota,Vios 1.5G,2018.0,430000000.0,Hà Nội,Xe đã dùng,56000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
15277,Toyota,Avanza Premio 1.5 AT,2023.0,588000000.0,Nam Định,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Xăng,1.5
18939,Toyota,Corolla altis 1.8G MT,2005.0,168000000.0,TP HCM,Xe đã dùng,225868.0,Lắp ráp trong nước,Sedan,Số tay,Đen,Cát,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
3925,Mitsubishi,Xpander 1.5 MT,2019.0,425000000.0,Bình Dương,Xe đã dùng,95000.0,Nhập khẩu,SUV,Số tay,Nâu,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
29957,Kia,Morning Luxury,2022.0,348000000.0,Hà Nội,Xe đã dùng,26000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
28739,Kia,Sportage Signature X-Line 2.0G,2024.0,919000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Nâu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
19521,Toyota,Fortuner 2.4G 4x2 AT,2018.0,828000000.0,TP HCM,Xe đã dùng,110000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.4
8221,Mercedes,Benz C class C200 Avantgarde,2023.0,1599000000.0,Nghệ An,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nâu,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,1.5
12492,Hyundai,SantaFe Cao cấp 2.2L HTRAC,2022.0,1180000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Dầu,2.2
10505,Hyundai,SantaFe Tiêu chuẩn 2.2L,2022.0,999000000.0,Hà Nội,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,7.0,5.0,FWD - Dẫn động cầu trước,Dầu,2.2
2607,Ford,Everest Ambiente 2.0L 4x2 AT,2024.0,1099000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
10835,Hyundai,Accent 1.4 AT,2024.0,469000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.4
21050,Chevrolet,Captiva LT 2.4 MT,2007.0,165000000.0,TP HCM,Xe đã dùng,130000.0,Lắp ráp trong nước,SUV,Số tay,Bạc,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.4
15669,Toyota,Innova Cross HEV 2.0 CVT,2024.0,990000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,Crossover,Số tự động,Đen,Nâu,7.0,5.0,FWD - Dẫn động cầu trước,Hybrid,2.0
22246,LandRover,Freelander 2 HSE Si4,2012.0,550000000.0,Hà Nội,Xe đã dùng,1200000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5.0,5.0,4WD - Dẫn động 4 bánh,Xăng,2.0
3966,Mitsubishi,Xpander Cross 1.5 AT,2024.0,630000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
4952,Mitsubishi,Triton 4x2 AT,2024.0,595000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Đen,-,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.4
656,MG,ZS Comfort 1.5 AT 2WD,2024.0,513000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
4659,Mitsubishi,Xpander 1.5 AT,2022.0,551000000.0,Hà Nội,Xe đã dùng,5100.0,Nhập khẩu,SUV,Số tự động,Bạc,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
9071,Mercedes,Benz V class V250 Luxury,2021.0,2222000000.0,TP HCM,Xe đã dùng,15000.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Kem,7.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
6462,Mercedes,Benz C class C300 AMG,2019.0,1159000000.0,Hà Nội,Xe đã dùng,79000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Nâu,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
23946,Mazda,2 Sport Luxury,2020.0,425000000.0,TP HCM,Xe đã dùng,32000.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
960,Ford,Ranger XLS 2.0L 4x2 AT,2024.0,650000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.0
13984,Honda,CRV 2.0 AT,2014.0,445000000.0,Hà Nội,Xe đã dùng,120000.0,Nhập khẩu,SUV,Số tự động,Đen,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
16491,Toyota,Camry 3.5Q,2010.0,399000000.0,Hà Nội,Xe đã dùng,120000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,3.5
16513,Toyota,Corolla altis 1.8V,2023.0,750000000.0,TP HCM,Xe đã dùng,21500.0,Nhập khẩu,Sedan,Số tự động,Bạc,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
2704,Ford,Ranger XLS 2.2L 4x2 AT,2016.0,435000000.0,Hà Nội,Xe đã dùng,95000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xám,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
30432,Kia,K3 Luxury 1.6 AT,2022.0,545000000.0,Hà Nội,Xe đã dùng,15000.0,Lắp ráp trong nước,Sedan,Số tự động,Ghi,Nhiều màu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.6
13796,Honda,City 1.5TOP,2020.0,465000000.0,Hà Nội,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
12860,Hyundai,i10 Grand 1.2 MT,2019.0,280000000.0,Hưng Yên,Xe đã dùng,75000.0,Lắp ráp trong nước,Hatchback,Số tay,Trắng,Nhiều màu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
19684,Toyota,Corona GLi 2.0,1993.0,69000000.0,Hà Nội,Xe đã dùng,29000.0,Nhập khẩu,Sedan,Số tay,Xám,Xám,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
18073,Toyota,Innova 2.0E,2015.0,312000000.0,Hà Nội,Xe đã dùng,96458.0,Lắp ráp trong nước,Crossover,Số tay,Cát,Kem,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
23370,Mazda,3 1.5L Luxury,2022.0,599000000.0,Hà Nội,Xe đã dùng,30000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
25065,Audi,A3 1.8 AT,2014.0,465000000.0,TP HCM,Xe đã dùng,80000.0,Nhập khẩu,Sedan,Số tự động,Đỏ,Nâu,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
23649,Mazda,CX5 2.0 Premium,2020.0,755000000.0,Thái Bình,Xe đã dùng,45000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
30762,Suzuki,Swift 1.4 AT,2016.0,305000000.0,Hà Nội,Xe đã dùng,79000.0,Lắp ráp trong nước,Hatchback,Số tự động,Đỏ,Nhiều màu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
26538,Lexus,LS 460,2010.0,1020000000.0,Hà Nội,Xe đã dùng,112000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,4.6
1502,Ford,Everest 2.5L 4x2 AT,2011.0,329000000.0,Vĩnh Phúc,Xe đã dùng,193102.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.5
29774,Kia,Sonet Luxury 1.5 AT,2022.0,545000000.0,Hà Nội,Xe đã dùng,17000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
626,MG,ZS Comfort 1.5 AT 2WD,2021.0,425000000.0,Vĩnh Phúc,Xe đã dùng,59000.0,Nhập khẩu,Crossover,Số tự động,Bạc,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
19698,Toyota,Hilux 2.4E 4x2 AT,2020.0,635000000.0,TP HCM,Xe đã dùng,45137.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.4
1124,Ford,Everest Titanium Plus 2.0L 4x4 AT,2024.0,1468000000.0,Nghệ An,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Ghi,7.0,5.0,4WD - Dẫn động 4 bánh,Dầu,2.0
12557,Hyundai,Palisade Prestige 2.2 AT HTRAC,2024.0,1553000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Nâu,6.0,5.0,AWD - 4 bánh toàn thời gian,Dầu,2.2
13962,Honda,CRV L,2021.0,919000000.0,Hà Nội,Xe đã dùng,71000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
4976,Mitsubishi,Xpander 1.5 AT,2020.0,540000000.0,TP HCM,Xe đã dùng,36000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
12613,Hyundai,Kona 2.0 ATH,2021.0,575000000.0,Hà Nội,Xe đã dùng,19000.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
23816,Mazda,CX5 2.5 AT 2WD,2018.0,650000000.0,Hà Nội,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.5
26268,Lexus,ES 250,2020.0,2096000000.0,Hà Nội,Xe đã dùng,13000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Vàng,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.5
17543,Toyota,Land Cruiser 3.5 V6,2024.0,4286000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.4
20218,Toyota,Corolla Cross 1.8V,2021.0,748000000.0,TP HCM,Xe đã dùng,52000.0,Nhập khẩu,SUV,Số tự động,Xanh,Nâu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.8
18597,Toyota,Yaris Cross HEV 1.5 CVT,2024.0,740000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Hybrid,1.5
1000,Ford,Ranger Wildtrak 3.2L 4x4 AT,2016.0,555000000.0,Đăk Lăk,Xe đã dùng,95000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cam,Cam,5.0,4.0,4WD - Dẫn động 4 bánh,Dầu,3.2
12094,Hyundai,Custin Cao Cấp 2.0T,2023.0,985000000.0,Hà Nội,Xe đã dùng,9000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
5748,VinFast,VF6 Base,2024.0,675000000.0,Quảng Ninh,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Điện,0.6
2038,Ford,Territory Titanium 1.5 AT,2024.0,785000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nhiều màu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
559,MG,ZS Standard 1.5 AT 2WD,2022.0,430000000.0,Thái Nguyên,Xe đã dùng,45000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
19674,Toyota,Vios 1.5E MT,2019.0,348000000.0,TP HCM,Xe đã dùng,740000.0,Lắp ráp trong nước,Sedan,Số tay,Xám,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
20392,Toyota,Fortuner 2.4G 4x2 AT,2019.0,838000000.0,TP HCM,Xe đã dùng,80000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.4
18336,Toyota,Camry 2.5Q,2020.0,910000000.0,TP HCM,Xe đã dùng,65000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.5
14864,Honda,City RS 1.5 AT,2023.0,569000000.0,Lâm Đồng,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
7253,Mercedes,Benz A class A200,2014.0,425000000.0,Hà Nội,Xe đã dùng,69000.0,Nhập khẩu,Hatchback,Số tự động,Vàng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.6
5983,VinFast,VF8 Plus,2023.0,1270000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Xanh,5.0,5.0,AWD - 4 bánh toàn thời gian,Điện,0.2
24710,Mazda,6 2.0 AT,2016.0,420000000.0,Hà Nội,Xe đã dùng,90000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
3090,Ford,Transit Tiêu chuẩn,2024.0,769000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Đen,16.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
12862,Hyundai,SantaFe Premium 2.4L HTRAC,2020.0,865000000.0,Hà Nội,Xe đã dùng,40000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.4
16180,Toyota,Yaris 1.5G,2017.0,415000000.0,Hà Nội,Xe đã dùng,55555.0,Nhập khẩu,Hatchback,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
30741,Suzuki,Swift Special,2015.0,320000000.0,TP HCM,Xe đã dùng,62000.0,Lắp ráp trong nước,Hatchback,Số tự động,Xanh,Nhiều màu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
11766,Hyundai,Creta Đặc biệt 1.5 AT,2022.0,625000000.0,Hà Nội,Xe đã dùng,27000.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
26853,Volkswagen,Viloran Luxury,2024.0,2188000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,Van/Minivan,Số tự động,Trắng,Kem,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
23486,Mazda,CX5 2.0 AT,2018.0,640000000.0,Hà Nội,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
26517,Lexus,LS 500,2024.0,7650000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Đỏ,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,3.4
13956,Honda,BR V L,2024.0,680000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Bạc,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
30064,Kia,Morning MT,2019.0,225000000.0,Hà Nội,Xe đã dùng,70000.0,Lắp ráp trong nước,Hatchback,Số tay,Ghi,Ghi,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.25
2956,Ford,Ranger Wildtrak 2.0L 4x4 AT,2023.0,910000000.0,TP HCM,Xe đã dùng,16000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Đen,Đen,5.0,4.0,4WD - Dẫn động 4 bánh,Dầu,2.0
5087,Mitsubishi,Xpander Cross 1.5 AT,2024.0,650000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Cam,Đen,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
26616,Lexus,RX 300,2020.0,2799000000.0,Hà Nội,Xe đã dùng,21000.0,Nhập khẩu,SUV,Số tự động,Vàng,Đỏ,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
24632,Mazda,CX 30 Luxury 2.0 AT,2021.0,675000000.0,TP HCM,Xe đã dùng,28000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
19675,Toyota,Camry 2.0E,2017.0,645000000.0,Thái Nguyên,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Kem,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
12735,Hyundai,Custin Đặc Biệt 1.5T,2023.0,855000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Xám,7.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
14409,Honda,City RS 1.5 AT,2023.0,568000000.0,Thái Nguyên,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
5103,Mitsubishi,Attrage 1.2 CVT Eco,2018.0,285000000.0,Khánh Hòa,Xe đã dùng,68000.0,Nhập khẩu,Sedan,Số tự động,Xám,Ghi,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.2
12934,Hyundai,Creta Tiêu chuẩn 1.5 AT,2022.0,596000000.0,Hà Nội,Xe đã dùng,44000.0,Nhập khẩu,Crossover,Số tự động,Trắng,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
12582,Hyundai,Creta Đặc biệt 1.5 AT,2024.0,625000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,-,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
2435,Ford,Ranger XLS 2.2L 4x2 MT,2021.0,510000000.0,Đăk Lăk,Xe đã dùng,40000.0,Nhập khẩu,Bán tải / Pickup,Số tay,Đỏ,Nhiều màu,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
6638,Mercedes,Benz GLC 300 4Matic,2024.0,2617000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,-,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
17937,Toyota,Corolla Cross 1.8V,2021.0,765000000.0,Hà Nội,Xe đã dùng,16000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nâu,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.8
26628,Lexus,RX 300,2021.0,2899000000.0,Hà Nội,Xe đã dùng,30000.0,Nhập khẩu,SUV,Số tự động,Xanh,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
9474,Mercedes,Benz GLC 300 4Matic,2022.0,2050000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
9150,Mercedes,Benz C class C300 AMG,2022.0,1899000000.0,Hà Nội,Xe đã dùng,20000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
988,Ford,Ranger Raptor 2.0L 4x4 AT,2023.0,1245000000.0,TP HCM,Xe đã dùng,15000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Cam,Đen,5.0,4.0,4WD - Dẫn động 4 bánh,Dầu,2.0
14941,Honda,HRV G,2023.0,680000000.0,TP HCM,Xe đã dùng,10000.0,Nhập khẩu,Crossover,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
26804,Volkswagen,Teramont X Luxury 2.0 AT,2024.0,1998000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
26822,Volkswagen,Teramont X Platinum 2.0 AT,2024.0,2168000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đỏ,Nhiều màu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
563,MG,5 Luxury 1.5 AT,2022.0,475000000.0,TP HCM,Xe đã dùng,8000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
27004,Volkswagen,Teramont X Platinum 2.0 AT,2024.0,2168000000.0,TP HCM,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Xám,Nhiều màu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
26471,Lexus,RX 300,2021.0,2950000000.0,Hà Nội,Xe đã dùng,19000.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
2316,Ford,Territory Titanium 1.5 AT,2024.0,909000000.0,Hà Nội,Xe mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Xanh,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
7847,Mercedes,Benz GLC 200 4Matic,2022.0,1869000000.0,TP HCM,Xe đã dùng,4000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
20798,Toyota,Innova G,2007.0,250000000.0,Hà Nội,Xe đã dùng,25000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Kem,8.0,5.0,RFD - Dẫn động cầu sau,Xăng,2.0
3938,Mitsubishi,Attrage 1.2 MT,2024.0,351000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Sedan,Số tay,Trắng,Ghi,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.2
16225,Toyota,Corolla altis 1.8V,2022.0,715000000.0,Hà Nội,Xe đã dùng,6500.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
292,Nissan,Navara EL 2.5 AT 2WD,2017.0,400000000.0,Bình Dương,Xe đã dùng,150000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.5
9852,BMW,3 Series 320i Sport Line,2023.0,1354000000.0,TP HCM,Xe mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,2.0
